,brand,city_state,frequency,zip_list
160,Charlotte,"Troutman, NC",1,[28166]
161,Charlotte,"Waxhaw, NC",1,[28173]
162,Charlotte,"Westerville, OH",1,"[43081, 43082]"
163,Charlotte,"Windermere, FL",1,[34786]
164,Indianapolis,"Avon, IN",3,[46123]
165,Nashville,"Avon, IN",2,[46123]
166,Indianapolis,"Carmel, IN",6,"[46032, 46033]"
167,Indianapolis,"Dayton, OH",1,"[45410, 45402, 45403, 45404, 45405, 45406, 45409, 45414, 45415, 45416, 45417, 45419, 45420, 45424, 45426, 45428, 45429, 45430, 45431, 45432, 45433, 45434, 45324, 45439, 45440, 45459, 45342, 45449, 45458, 45377]"
168,Indianapolis,"Fishers, IN",4,"[46037, 46038]"
169,Indianapolis,"Fort Wayne, IN",2,"[46802, 46803, 46804, 46805, 46806, 46807, 46808, 46809, 46814, 46815, 46816, 46818, 46819, 46825, 46835, 46845]"
170,Indianapolis,"Fort Worth, TX",2,"[76102, 76103, 76104, 76105, 76106, 76107, 76108, 76109, 76110, 76111, 76112, 76114, 76115, 76116, 76118, 76119, 76120, 76123, 76126, 76129, 76131, 76132, 76133, 76134, 76135, 76179, 76137, 76140, 76148, 76155, 76164, 76177, 76180]"
171,Indianapolis,"Gulf Breeze, FL",1,"[32561, 32563]"
172,Indianapolis,"Kenner, LA",1,"[70062, 70065]"
173,Indianapolis,"Lafayette, IN",3,"[47901, 47905, 47904, 47909]"
174,Indianapolis,"Milwaukee, WI",1,"[53203, 53202, 53204, 53205, 53206, 53207, 53208, 53209, 53210, 53211, 53212, 53213, 53214, 53215, 53216, 53217, 53218, 53219, 53220, 53221, 53222, 53223, 53224, 53225, 53226, 53227, 53228, 53233, 53295]"
175,San_Diego,"Milwaukee, WI",2,"[53203, 53202, 53204, 53205, 53206, 53207, 53208, 53209, 53210, 53211, 53212, 53213, 53214, 53215, 53216, 53217, 53218, 53219, 53220, 53221, 53222, 53223, 53224, 53225, 53226, 53227, 53228, 53233, 53295]"
176,Indianapolis,"Northampton, MA",1,"['01060', '01063']"
177,Indianapolis,"Pendleton, IN",1,[46064]
178,Indianapolis,"Terre Haute, IN",1,"[47807, 47802, 47803, 47804, 47805, 47809]"
179,Indianapolis,"Westfield, IN",1,[46074]
180,Louisville,"Frisco, TX",1,"[75034, 75035]"
181,Louisville,"Louisville, KY",1,"[40203, 40202, 40204, 40205, 40206, 40207, 40208, 40209, 40210, 40211, 40212, 40213, 40214, 40215, 40216, 40217, 40218, 40219, 40220, 40222, 40223, 40228, 40229, 40231, 40241, 40242, 40243, 40245, 40258, 40299, 40272, 40280, 40291]"
182,Louisville,"Tacoma, WA",1,"[98402, 98403, 98404, 98405, 98406, 98407, 98408, 98409, 98444, 98416, 98418, 98421, 98422, 98424, 98433, 98443, 98445, 98446, 98447, 98466, 98465, 98498]"
183,Nashville,"Cincinnati, OH",1,"[45203, 45202, 45204, 45205, 45206, 45207, 45208, 45209, 45211, 45212, 45213, 45214, 45215, 45216, 45217, 45218, 45219, 45220, 45223, 45224, 45225, 45226, 45227, 45229, 45230, 45231, 45232, 45233, 45241, 45236, 45237, 45238, 45239, 45240, 45242, 45243, 45244, 45245, 45246, 45247, 45248, 45249, 45251, 45252, 45255]"
184,Nashville,"Clarksville, TN",1,"[37040, 37042, 37043]"
185,Nashville,"Cuyahoga Falls, OH",1,"[44221, 44223]"
186,Nashville,"Franklin, TN",1,"[37064, 37067, 37069]"
187,Nashville,"Melville, NY",2,"[11747, 11788]"
188,Nashville,"Murfreesboro, TN",1,"[37127, 37128, 37129, 37130, 37132]"
189,Nashville,"Ocean Springs, MS",1,[39564]
190,Nashville,"Sewanee, TN",2,[37375]
191,Nashville,"Spring Hill, TN",1,[37174]
192,Nashville,"Torrance, CA",2,"[90501, 90502, 90503, 90504, 90505, 90506]"
193,Nashville,"Westlake Village, CA",2,"[91362, 91361]"
194,Portland,"Bend, OR",2,"[97701, 97702, 97707]"
195,Portland,"Canby, OR",2,[97013]
196,Portland,"Honolulu, HI",1,"[96813, 96814, 96815, 96816, 96817, 96818, 96819, 96821, 96822, 96825, 96826, 96850]"
197,Portland,"Ladera Ranch, CA",1,[92694]
198,Portland,"Lake Oswego, OR",1,"[97034, 97035]"
199,Portland,"Portland, OR",57,"[97201, 97202, 97203, 97204, 97205, 97206, 97208, 97209, 97210, 97211, 97212, 97213, 97214, 97215, 97216, 97217, 97218, 97219, 97220, 97221, 97222, 97223, 97224, 97225, 97227, 97229, 97230, 97231, 97232, 97233, 97236, 97239, 97266, 97267]"
200,Portland,"Portland, TX",1,[78374]
201,Portland,"Roseburg, OR",1,"[97470, 97471]"
202,Portland,"Saint Paul, MN",1,"[55101, 55102, 55103, 55104, 55105, 55106, 55107, 55108, 55109, 55110, 55111, 55112, 55113, 55114, 55115, 55116, 55117, 55118, 55119, 55120, 55121, 55122, 55123, 55124, 55125, 55126, 55127, 55128, 55129, 55130, 55155]"
203,Portland,"San Jose, CA",4,"[95131, 95112, 95110, 95111, 95113, 95116, 95117, 95118, 95119, 95120, 95121, 95122, 95123, 95124, 95125, 95126, 95127, 95128, 95129, 95130, 95132, 95133, 95134, 95135, 95136, 95138, 95139, 95037, 95148]"
204,Portland,"Vancouver, WA",3,"[98660, 98661, 98662, 98663, 98664, 98665, 98682, 98683, 98684, 98685, 98686]"
205,Portland,"Wilsonville, OR",1,[97070]
206,RDU,"Apex, NC",1,"[27502, 27523, 27539]"
207,RDU,"Cary, NC",1,"[27511, 27513, 27518, 27519]"
208,RDU,"Chapel Hill, NC",4,"[27514, 27516, 27517]"
209,RDU,"Collingswood, NJ",1,['08108']
210,RDU,"Durham, NC",7,"[27701, 27703, 27704, 27705, 27707, 27709, 27713, 27712]"
211,RDU,"Emporia, VA",1,[23847]
212,RDU,"Evanston, IL",1,"[60201, 60202, 60203]"
213,RDU,"Garner, NC",1,[27529]
214,RDU,"Lynchburg, VA",1,"[24501, 24502, 24503, 24504]"
215,RDU,"Pittsboro, NC",1,[27312]
